DOI,Authors,Checked By,Constraints / Assumptions,Description of layout algorithm,Domain,Evaluation,Exclude?,Keep,Layout Method fully described in paper,Method Type,Optimization Objectives,Source,Special features,Temporal Model,Title,URL,Venue,Visual/Structural features supported,Year
10.1145/3698061.3726933,"Mishra, Aditi, Brudy, Frederik, Zhou, Qian, Fitzmaurice, George, Anderson, Fraser",Henry,,,,,No,No,No,,,ACM,,,WhatIF: Branched Narrative Fiction Visualization for Authoring Emergent Narratives using Large Language Models,https://doi.org/10.1145/3698061.3726933,Proceedings of the 2025 Conference on Creativity and Cognition,,2025
10.1145/3711068,"Yan, Zihan, Xiang, Yaohong",Henry,,,,,No,No,No,,,ACM,,,Social Life Simulation for Non-Cognitive Skills Learning,https://doi.org/10.1145/3711068,Proc. ACM Hum.-Comput. Interact.,,2025
10.1145/3625008.3625038,"Monticelli, Jonas, Wagner, Jorge, Maciel, Anderson, Torchelsen, Rafael P, Freitas, Carla, Nedel, Luciana",Henry,,,,,No,No,No,,,ACM,,,Immersive Visualization Interface for Endoscopy Analytics and Debriefing,https://doi.org/10.1145/3625008.3625038,Proceedings of the 25th Symposium on Virtual and Augmented Reality,,2024
10.1145/3423958.3423975,"Isaac, Carlos G",Henry,,,,,No,No,No,,,ACM,,,Web-based 3D HSV color data gathering and visualization for applied cinemetrics: A case study in Hayao Miyazaki’s animated motion pictures,https://doi.org/10.1145/3423958.3423975,Proceedings of the 3rd International Conference on Web Studies,,2020
10.1145/1358628.1358854,"Rahn, Nathan C., Lim, Youn-kyung, Groth, Dennis P.",Henry,,,,,No,No,No,,,ACM,,,Redesigning video analysis: an interactive ink annotation tool,https://doi.org/10.1145/1358628.1358854,CHI '08 Extended Abstracts on Human Factors in Computing Systems,,2008
10.1145/3715336.3735833,"Vanukuru, Rishi, Panda, Payod, Chen, Xinyue, Scott, Ava Elizabeth, Tankelevitch, Lev, Rintel, Sean",Henry,,,,,No,No,No,,,ACM,,,Designing Interfaces that Support Temporal Work Across Meetings with Generative AI,https://doi.org/10.1145/3715336.3735833,Proceedings of the 2025 ACM Designing Interactive Systems Conference,,2025
10.1145/3760023.3760131,"Song, Lei, Cheng, Lingzhi",Henry,,,,,No,No,No,,,ACM,,,Research Status and Trends in the Field of Digital Supply Chain—A CiteSpace-Based Bibliometric Analysis,https://doi.org/10.1145/3760023.3760131,Proceedings of the 2025 International Conference on Management Science and Computer Engineering,,2025
10.1145/2503385.2503463,"Winters, Glenn Joseph, Zhu, Jichen",Henry,,,,,No,No,No,,,ACM,,,Attention guiding principles in 3D adventure games,https://doi.org/10.1145/2503385.2503463,ACM SIGGRAPH 2013 Posters,,2013
10.1145/3675160,"Dar, Aatif Nisar, Sengupta, Nandana, Arora, Chetan",Henry,,,,,No,No,No,,,ACM,,,Assessing the Feasibility and Ethics of Economic Status Prediction using Deep Learning on Household Images,https://doi.org/10.1145/3675160,ACM J. Comput. Sustain. Soc.,,2024
10.1145/2578153.2628812,"Kurzhals, Kuno, Heimerl, Florian, Weiskopf, Daniel",Henry,,,,,No,No,No,,,ACM,,,ISeeCube: visual analysis of gaze data for video,https://doi.org/10.1145/2578153.2628812,Proceedings of the Symposium on Eye Tracking Research and Applications,,2014
10.1145/3733155.3733195,"Fermitsch, Andreas, Fritz, Peter, Thomay, Christian, Gollan, Benedikt, Norden, Christian, Mangasser, Carsten",Henry,,,,,No,No,No,,,ACM,,,Automated Competency Assessment in Pilot Training based on Behavior Modeling of Flight Performance and Visual Attention,https://doi.org/10.1145/3733155.3733195,Proceedings of the 18th ACM International Conference on PErvasive Technologies Related to Assistive Environments,,2025
10.1145/3715669.3725878,"Kusunoki, Shunya, Fukuchi, Kentaro",Henry,,,,,No,No,No,,,ACM,,,Gaze Tiling: A Gaze Analysis Tool Visualizing Eye-Tracking Data and Temporal Scene Changes,https://doi.org/10.1145/3715669.3725878,Proceedings of the 2025 Symposium on Eye Tracking Research and Applications,,2025
10.1145/3732299.3732340,"Zhou, Qiqi, Ding, Liandi, Liu, Jia",Henry,,,,,No,No,No,,,ACM,,,Decade-Spanning Bibliometric Visual Analytics for AI Literacy,https://doi.org/10.1145/3732299.3732340,Proceedings of the 2025 International Conference on Digital Education and Information Technology,,2025
